org/springframework/data/mongodb/ReactiveMongoDatabaseUtils	doGetSession	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;Lorg/springframework/data/mongodb/SessionSynchronization;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$2	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$3	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::getRequiredDatabaseFactory()Lorg/springframework/data/mongodb/ReactiveMongoDatabaseFactory;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doBegin$3	(Lorg/springframework/transaction/reactive/TransactionSynchronizationManager;Lorg/springframework/data/mongodb/ReactiveMongoResourceHolder;)V	INVOKE_STATIC	org/springframework/transaction/reactive/TransactionSynchronizationManager::bindResource(Ljava/lang/Object;Ljava/lang/Object;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doCommit$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	CONSTANT	 type: class java.lang.String; value: Could not commit Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doCommit$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doCommit$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doCommit$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doCommit$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	CONSTANT	 type: class java.lang.String; value: Could not abort Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$doRollback$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	reactor/core/publisher/Mono::error(Ljava/lang/Throwable;)Lreactor/core/publisher/Mono;
org/springframework/data/mongodb/SessionSynchronization	$values	()[Lorg/springframework/data/mongodb/SessionSynchronization;	GET_FIELD	org/springframework/data/mongodb/SessionSynchronization::ALWAYS|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/SessionSynchronization	$values	()[Lorg/springframework/data/mongodb/SessionSynchronization;	GET_FIELD	org/springframework/data/mongodb/SessionSynchronization::NEVER|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/SessionSynchronization	$values	()[Lorg/springframework/data/mongodb/SessionSynchronization;	GET_FIELD	org/springframework/data/mongodb/SessionSynchronization::ON_ACTUAL_TRANSACTION|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/SessionSynchronization	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/SessionSynchronization::$values()[Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/core/BulkOperations$BulkMode	$values	()[Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;	GET_FIELD	org/springframework/data/mongodb/core/BulkOperations$BulkMode::ORDERED|Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;
org/springframework/data/mongodb/core/BulkOperations$BulkMode	$values	()[Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;	GET_FIELD	org/springframework/data/mongodb/core/BulkOperations$BulkMode::UNORDERED|Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;
org/springframework/data/mongodb/core/BulkOperations$BulkMode	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/core/BulkOperations$BulkMode::$values()[Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	$values	()[Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;	GET_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::RESUME_AFTER|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	$values	()[Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;	GET_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::START_AFTER|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	$values	()[Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;	GET_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::UNDEFINED|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::$values()[Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/DefaultBulkOperations	computeUpdateOptions	(Lorg/springframework/data/mongodb/core/query/Query;Lorg/springframework/data/mongodb/core/query/UpdateDefinition;Z)Lcom/mongodb/client/model/UpdateOptions;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/DefaultBulkOperations	remove	(Lorg/springframework/data/mongodb/core/query/Query;)Lorg/springframework/data/mongodb/core/BulkOperations;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/DefaultBulkOperations	replaceOne	(Lorg/springframework/data/mongodb/core/query/Query;Ljava/lang/Object;Lorg/springframework/data/mongodb/core/FindAndReplaceOptions;)Lorg/springframework/data/mongodb/core/BulkOperations;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	getIndexInfo	()Lreactor/core/publisher/Flux;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$ensureIndex$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	GET_FIELD	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::queryMapper|Lorg/springframework/data/mongodb/core/convert/QueryMapper;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$ensureIndex$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_STATIC	org/springframework/data/mapping/context/MappingContext::getRequiredPersistentEntity(Ljava/lang/Class;)Lorg/springframework/data/mapping/PersistentEntity;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$ensureIndex$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_STATIC	org/springframework/data/mongodb/core/convert/QueryMapper::getMappingContext()Lorg/springframework/data/mapping/context/MappingContext;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$ensureIndex$1	()Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	GET_FIELD	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::collectionName|Ljava/lang/String;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$ensureIndex$1	()Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_STATIC	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::lookupPersistentEntity(Ljava/lang/String;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;
org/springframework/data/mongodb/core/DefaultWriteConcernResolver	$values	()[Lorg/springframework/data/mongodb/core/DefaultWriteConcernResolver;	GET_FIELD	org/springframework/data/mongodb/core/DefaultWriteConcernResolver::INSTANCE|Lorg/springframework/data/mongodb/core/DefaultWriteConcernResolver;
org/springframework/data/mongodb/core/DefaultWriteConcernResolver	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/core/DefaultWriteConcernResolver::$values()[Lorg/springframework/data/mongodb/core/DefaultWriteConcernResolver;
org/springframework/data/mongodb/core/EntityOperations	convertToCreateCollectionOptions	(Lorg/springframework/data/mongodb/core/CollectionOptions;Ljava/lang/Class;)Lcom/mongodb/client/model/CreateCollectionOptions;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/EntityOperations	lambda$convertToCreateCollectionOptions$6	(Lcom/mongodb/client/model/ValidationOptions;Ljava/lang/Class;Lorg/springframework/data/mongodb/core/validation/Validator;)V	INVOKE_STATIC	com/mongodb/client/model/ValidationOptions::validator(Lorg/bson/conversions/Bson;)Lcom/mongodb/client/model/ValidationOptions;
org/springframework/data/mongodb/core/EntityOperations	lambda$convertToCreateCollectionOptions$6	(Lcom/mongodb/client/model/ValidationOptions;Ljava/lang/Class;Lorg/springframework/data/mongodb/core/validation/Validator;)V	INVOKE_STATIC	org/springframework/data/mongodb/core/EntityOperations::getMappedValidator(Lorg/springframework/data/mongodb/core/validation/Validator;Ljava/lang/Class;)Lorg/bson/Document;
org/springframework/data/mongodb/core/EntityOperations	lambda$convertToCreateCollectionOptions$7	(Ljava/lang/Class;Lcom/mongodb/client/model/CreateCollectionOptions;Lorg/springframework/data/mongodb/core/CollectionOptions$ValidationOptions;)V	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/EntityOperations$UntypedOperations	$values	()[Lorg/springframework/data/mongodb/core/EntityOperations$UntypedOperations;	GET_FIELD	org/springframework/data/mongodb/core/EntityOperations$UntypedOperations::INSTANCE|Lorg/springframework/data/mongodb/core/EntityOperations$UntypedOperations;
org/springframework/data/mongodb/core/EntityOperations$UntypedOperations	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/core/EntityOperations$UntypedOperations::$values()[Lorg/springframework/data/mongodb/core/EntityOperations$UntypedOperations;
org/springframework/data/mongodb/core/ExecutableFindOperationSupport$DelegatingQueryCursorPreparer	prepare	(Lcom/mongodb/client/FindIterable;)Lcom/mongodb/client/FindIterable;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/ExecutableFindOperationSupport$ExecutableFindSupport	getCursorPreparer	(Lorg/springframework/data/mongodb/core/query/Query;Lorg/springframework/data/mongodb/core/CursorPreparer;)Lorg/springframework/data/mongodb/core/CursorPreparer;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::BULK|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::INSERT_LIST|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::INSERT|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::REMOVE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::SAVE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	$values	()[Lorg/springframework/data/mongodb/core/MongoActionOperation;	GET_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::UPDATE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	INVOKE_STATIC	org/springframework/data/mongodb/core/MongoActionOperation::$values()[Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoClientFactoryBean	computeClientSetting	()Lcom/mongodb/MongoClientSettings;	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$0	(Lcom/mongodb/MongoClientSettings;Lcom/mongodb/connection/SslSettings;Lcom/mongodb/ConnectionString;Lcom/mongodb/connection/SslSettings$Builder;)V	INVOKE_STATIC	java/util/Objects::requireNonNull(Ljava/lang/Object;)Ljava/lang/Object;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	GET_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	INVOKE_STATIC	com/mongodb/connection/ClusterSettings$Builder::localThreshold(JLjava/util/concurrent/TimeUnit;)Lcom/mongodb/connection/ClusterSettings$Builder;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	INVOKE_STATIC	java/lang/Number::longValue()J
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	GET_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	INVOKE_STATIC	com/mongodb/connection/ConnectionPoolSettings$Builder::maxConnectionLifeTime(JLjava/util/concurrent/TimeUnit;)Lcom/mongodb/connection/ConnectionPoolSettings$Builder;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	INVOKE_STATIC	java/lang/Number::longValue()J
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$11	(Lcom/mongodb/connection/ConnectionPoolSettings;)Ljava/lang/Number;	GET_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$11	(Lcom/mongodb/connection/ConnectionPoolSettings;)Ljava/lang/Number;	INVOKE_STATIC	com/mongodb/connection/ConnectionPoolSettings::getMaxConnectionLifeTime(Ljava/util/concurrent/TimeUnit;)J
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$11	(Lcom/mongodb/connection/ConnectionPoolSettings;)Ljava/lang/Number;	INVOKE_STATIC	java/lang/Long::valueOf(J)Ljava/lang/Long;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$12	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	GET_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
