org/apache/maven/DefaultMaven	buildGraph	(Lorg/apache/maven/execution/MavenSession;Lorg/apache/maven/execution/MavenExecutionResult;)Lorg/apache/maven/model/building/Result;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ForkedProjectSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoSkipped|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::MojoSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectDiscoveryStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectFailed|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectSkipped|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::ProjectSucceeded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::SessionEnded|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/execution/ExecutionEvent$Type	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/execution/ExecutionEvent$Type::SessionStarted|Lorg/apache/maven/execution/ExecutionEvent$Type;
org/apache/maven/graph/DefaultProjectDependencyGraph	toString	()Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/graph/FilteredProjectDependencyGraph	toString	()Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/internal/aether/ReverseTreeRepositoryListener	artifactResolved	(Lorg/eclipse/aether/RepositoryEvent;)V	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/lifecycle/LifecycleExecutionException	createMessage	(Lorg/apache/maven/plugin/MojoExecution;Lorg/apache/maven/project/MavenProject;Ljava/lang/Throwable;)Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/lifecycle/internal/DefaultMojoExecutionConfigurator	lambda$checkUnknownMojoConfigurationParameters$3	(Lorg/apache/maven/plugin/MojoExecution;Ljava/lang/String;)V	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/lifecycle/internal/LifecycleDependencyResolver	getProjects	(Lorg/apache/maven/project/MavenProject;Lorg/apache/maven/execution/MavenSession;Z)Ljava/util/List;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/apache/maven/lifecycle/internal/LifecycleStarter	execute	(Lorg/apache/maven/execution/MavenSession;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/apache/maven/lifecycle/internal/TaskSegment	toString	()Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/plugin/DefaultExtensionRealmCache$CacheKey	toString	()Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/plugin/MojoExecution$Source	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/MojoExecution$Source::CLI|Lorg/apache/maven/plugin/MojoExecution$Source;
org/apache/maven/plugin/MojoExecution$Source	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/MojoExecution$Source::LIFECYCLE|Lorg/apache/maven/plugin/MojoExecution$Source;
org/apache/maven/plugin/PluginValidationManager$IssueLocality	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/PluginValidationManager$IssueLocality::EXTERNAL|Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;
org/apache/maven/plugin/PluginValidationManager$IssueLocality	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/PluginValidationManager$IssueLocality::INTERNAL|Lorg/apache/maven/plugin/PluginValidationManager$IssueLocality;
org/apache/maven/plugin/internal/AbstractMavenPluginDescriptorSourcedParametersValidator	isIgnoredProperty	(Ljava/lang/String;)Z	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::BRIEF|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::INLINE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::NONE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::SUMMARY|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel::VERBOSE|Lorg/apache/maven/plugin/internal/DefaultPluginValidationManager$ValidationReportLevel;
org/apache/maven/plugin/internal/DeprecatedPluginValidator	logDeprecatedMojo	(Lorg/apache/maven/plugin/descriptor/MojoDescriptor;)Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/project/DefaultProjectRealmCache$CacheKey	toString	()Ljava/lang/String;	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging::POM_DOMINANT|Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;
org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging	<clinit>	()V	GET_STATIC_FIELD	org/apache/maven/project/ProjectBuildingRequest$RepositoryMerging::REQUEST_DOMINANT|Lorg/apache/maven/project/ProjectBuildingRequest$RepositoryMerging;
org/apache/maven/project/artifact/DefaultMavenMetadataCache	artifactHashCode	(Lorg/apache/maven/artifact/Artifact;)I	INVOKE_VIRTUAL	java/lang/Object::hashCode()I
org/apache/maven/project/artifact/DefaultProjectArtifactsCache$CacheKey	<init>	(Lorg/apache/maven/project/MavenProject;Ljava/util/List;Ljava/util/Collection;Ljava/util/Collection;ZLorg/eclipse/aether/RepositorySystemSession;)V	INVOKE_VIRTUAL	java/lang/Object::toString()Ljava/lang/String;
org/apache/maven/repository/DelegatingLocalArtifactRepository	hashCode	()I	INVOKE_VIRTUAL	java/lang/Object::hashCode()I
