org/apache/bval/jsr/util/AnnotationsManager	lambda$getAnnotation$4	(Ljava/lang/Class;Ljava/lang/reflect/AnnotatedElement;)Ljava/lang/annotation/Annotation;	INVOKE_STATIC	java/lang/reflect/AnnotatedElement::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;
org/apache/bval/jsr/util/AnnotationsManager	lambda$getDeclaredConstraints$8	(Ljava/util/Map;Ljava/lang/reflect/AnnotatedElement;Ljava/lang/annotation/Annotation;)V	INVOKE_VIRTUAL	java/util/Optional::map(Ljava/util/function/Function;)Ljava/util/Optional;
org/apache/bval/jsr/util/AnnotationsManager	lambda$isAnnotationDirectlyPresent$3	(Ljava/lang/Class;Ljava/lang/reflect/AnnotatedElement;)Z	INVOKE_STATIC	java/lang/reflect/AnnotatedElement::isAnnotationPresent(Ljava/lang/Class;)Z
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$1	(Ljava/lang/String;Ljava/lang/Throwable;)Ljavax/validation/ValidationException;	INVOKE_SPECIAL	javax/validation/ValidationException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	CONSTANT	 type: class java.lang.String; value: Caught exception reading attributes of %s
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply()Ljava/util/function/BiFunction;
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_STATIC	java/util/Map::put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_STATIC	org/apache/bval/jsr/util/AnnotationsManager::org_apache_bval_util_reflection_Reflection$$makeAccessible(Ljava/lang/reflect/AccessibleObject;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_STATIC	org/apache/bval/util/Exceptions::raise(Ljava/util/function/BiFunction;Ljava/lang/Throwable;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_VIRTUAL	java/lang/reflect/Method::getName()Ljava/lang/String;
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_VIRTUAL	java/lang/reflect/Method::invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$readAttributes$2	(Lorg/apache/bval/util/Lazy;Ljava/lang/annotation/Annotation;Ljava/lang/reflect/Method;)V	INVOKE_VIRTUAL	org/apache/bval/util/Lazy::get()Ljava/lang/Object;
org/apache/bval/jsr/util/AnnotationsManager	lambda$supportedTargets$12	()Ljava/util/EnumSet;	INVOKE_STATIC	java/util/EnumSet::noneOf(Ljava/lang/Class;)Ljava/util/EnumSet;
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$10	(Ljava/lang/reflect/Method;)Z	INVOKE_VIRTUAL	java/lang/reflect/Method::getParameterCount()I
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$11	(Ljava/lang/String;)V	CONSTANT	 type: class java.lang.String; value: Invalid constraint attribute %s
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$11	(Ljava/lang/String;)V	CONSTANT	 type: class java.lang.String; value: valid
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$11	(Ljava/lang/String;)V	INVOKE_DYNAMIC	[java/lang/invoke/LambdaMetafactory::metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)Ljava/lang/invoke/CallSite;]::apply()Ljava/util/function/Function;
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$11	(Ljava/lang/String;)V	INVOKE_STATIC	org/apache/bval/util/Exceptions::raiseIf(ZLjava/util/function/Function;Ljava/lang/String;[Ljava/lang/Object;)V
org/apache/bval/jsr/util/AnnotationsManager	lambda$validateConstraintDefinition$11	(Ljava/lang/String;)V	INVOKE_VIRTUAL	java/lang/String::startsWith(Ljava/lang/String;)Z
